"Toyota Altezza XE10 Gita универсал , 2001",,5950$,https://i.cars.kg/preview/r/tWzo7VkQa3jyvVehm7XjAA/1080x-/20220329/0a100be11d6f347e7f6743f01be3f67e.jpg
"Mercedes-Benz E-Класс W124 [рестайлинг] Универсал , 1991",,2667$,https://i.cars.kg/preview/r/K_v0ujGwfj0yKPxnsG4yJQ/1080x-/20220331/d17256e6232573b2214d2c206e9902c2.jpg
"Kia K5 1 поколение Седан , 2015",,13200$,https://i.cars.kg/preview/r/TeMmb6_-P5CJwKTbuj4OWQ/1080x-/20220318/9f20deb24e9ffadc55990b0be1139237.jpg
"Kia Sorento 3 поколение Prime кроссовер , 2016",,22900$,https://i.cars.kg/preview/r/8zVxHCAGr5IPH_1DVT9DPQ/1080x-/20220318/14ddd02af461381bb979356356f01719.jpg
"Toyota Highlander 2 поколение [рестайлинг] Кроссовер 5-дв. , 2013",,21900$,https://i.cars.kg/preview/r/oN3zneKGqknIvdTUhMSIHA/1080x-/20220323/2b1352239381a1f5c1c1b25bc67c7d8f.jpg
"Toyota Land Cruiser J200 [рестайлинг] 200 внедорожник , 2012",,39400$,https://i.cars.kg/preview/r/ANdq017pn4YnkJ2CbmN9eA/1080x-/20220323/8e29d2ae3ec4bf9f123817813e1ddf85.jpg
"Mercedes-Benz S-Класс W220 Седан , 2001",,6500$,https://i.cars.kg/preview/r/OGs1ZSZwbqBztx1_4J-gcQ/1080x-/20220323/75f6a81346edc7acce00fa87a35856e0.jpg
"Toyota Highlander 2 поколение [рестайлинг] Кроссовер 5-дв. , 2012",,23500$,https://i.cars.kg/preview/r/WDSj__ieSMFHm-Yu1cdDaQ/1080x-/20220330/c14d017059d1b93ee0d1c1bed83ebbaa.jpg
"Mercedes-Benz Sprinter W906 , 2000",,6669$,https://i.cars.kg/preview/r/mbt_VbQY2H7VOhWvX-7vLQ/1080x-/20220329/af60fe9711c49f3fe6b45f668cc58f52.jpg
"Toyota Vitz , 2003",,4800$,https://i.cars.kg/preview/r/OpDgIePlU3SXkx5DwVFg4Q/1080x-/20220317/6316dee2e94f1adc91bcd07de2484f08.jpg
"Toyota Prius 4 поколение Хетчбэк , 2016",,16150$,https://i.cars.kg/preview/r/8a9OPMVCw8D78uaYNqIebg/1080x-/20220202/54fa0e351b523dde08da8f26f33c3abd.jpg
"Toyota Prius V 1 поколение Минивэн , 2015",,15800$,https://i.cars.kg/preview/r/k4cZjJWLDXK4V3qMMcudMw/1080x-/20220217/e498ee91a40113f08fe3fa4e23e72041.jpg
"Toyota Highlander , 2021",,74000$,https://i.cars.kg/preview/r/p5gqPSAL4Vwk603FGURmKg/1080x-/20220329/fca0b17f57b6b5150ef4ece62dab5ae5.jpg
"Toyota Highlander , 2021",,71000$,https://i.cars.kg/preview/r/e_He4R-LQEuTr6hW0vCRTQ/1080x-/20220329/d2762d5ebe2b4536743416050866e1c9.jpg
