Chevrolet Cruze,$ 11 800,"['2017 г., 1.6 л., автомат', 'седан, бензин', 'руль слева, 40 000 км']",
Toyota RAV4,$ 27 500,"['2017 г., 2.5 л., вариатор', 'внедорожник 5 дв., гибрид', 'руль слева, 40 250 км']",
BMW 5 Серия,$ 36 500,"['2017 г., 2 л., автомат', 'седан, дизель', 'руль слева']",
Honda Accord,$ 9 500,"['2008 г., 2.4 л., автомат', 'седан, бензин', 'руль слева']",
Toyota Land Cruiser,$ 42 000,"['2013 г., 4.6 л., автомат', 'внедорожник 5 дв., бензин', 'руль слева, 147 000 км']",
Land Rover Range Rover Sport,$ 18 500,"['2010 г., 5 л., автомат', 'внедорожник 5 дв., бензин', 'руль слева, 14 589 км']",
Lexus LX,$ 30 500,"['2010 г., 5.7 л., автомат', 'внедорожник 5 дв., бензин', 'руль слева, 181 000 км']",
Toyota Land Cruiser,$ 33 500,"['2008 г., 5.7 л., автомат', 'внедорожник 5 дв., бензин', 'руль слева, 94 000 км']",
Lexus LX,$ 22 900,"['2006 г., 4.7 л., автомат', 'внедорожник 5 дв., бензин', 'руль слева, 127 000 км']",
Nissan Leaf,$ 5 999,"['2012 г., вариатор', 'хэтчбек 5 дв., электро', 'руль слева']",
Toyota Estima,$ 10 299,"['2003 г., 3 л., автомат', 'минивэн, бензин', 'руль справа, 127 000 км']",
Volkswagen Golf,$ 5 450,"['1999 г., 2 л., автомат', 'хэтчбек 5 дв., бензин', 'руль слева, 200 000 км']",
Mercedes-Benz E-класс,$ 14 558,"['2010 г., 3.5 л., автомат', 'седан, бензин', 'руль слева, 170 000 км']",
Nissan Maxima,$ 4 900,"['2000 г., 3 л., автомат', 'седан, бензин', 'руль слева, 205 000 км']",
Mercedes-Benz E-класс,$ 9 500,"['2002 г., 5 л., автомат', 'седан, бензин', 'руль слева']",
Toyota Camry,$ 17 700,"['2017 г., 2.5 л., автомат', 'седан, бензин', 'руль слева, 74 000 км']",
BMW X5,$ 11 000,"['2006 г., 4.4 л., автомат', 'внедорожник 5 дв., бензин', 'руль слева, 195 000 км']",
Toyota Ist,$ 4 600,"['2002 г., 1.3 л., автомат', 'хэтчбек 5 дв., бензин', 'руль справа, 360 000 км']",
Lexus GX,$ 21 500,"['2005 г., 4.7 л., автомат', 'внедорожник 5 дв., бензин', 'руль слева, 179 000 км']",
Hyundai Elantra,$ 13 000,"['2017 г., 2 л., автомат', 'седан, бензин', 'руль слева, 70 000 км']",
Chevrolet Cruze,$ 11 800,"['2017 г., 1.6 л., автомат', 'седан, бензин', 'руль слева, 40 000 км']",
Toyota RAV4,$ 27 500,"['2017 г., 2.5 л., вариатор', 'внедорожник 5 дв., гибрид', 'руль слева, 40 250 км']",
BMW 5 Серия,$ 36 500,"['2017 г., 2 л., автомат', 'седан, дизель', 'руль слева']",
Honda Accord,$ 9 500,"['2008 г., 2.4 л., автомат', 'седан, бензин', 'руль слева']",
Toyota Land Cruiser,$ 42 000,"['2013 г., 4.6 л., автомат', 'внедорожник 5 дв., бензин', 'руль слева, 147 000 км']",
Land Rover Range Rover Sport,$ 18 500,"['2010 г., 5 л., автомат', 'внедорожник 5 дв., бензин', 'руль слева, 14 589 км']",
Lexus LX,$ 30 500,"['2010 г., 5.7 л., автомат', 'внедорожник 5 дв., бензин', 'руль слева, 181 000 км']",
Toyota Land Cruiser,$ 33 500,"['2008 г., 5.7 л., автомат', 'внедорожник 5 дв., бензин', 'руль слева, 94 000 км']",
Lexus LX,$ 22 900,"['2006 г., 4.7 л., автомат', 'внедорожник 5 дв., бензин', 'руль слева, 127 000 км']",
Nissan Leaf,$ 5 999,"['2012 г., вариатор', 'хэтчбек 5 дв., электро', 'руль слева']",
Toyota Estima,$ 10 299,"['2003 г., 3 л., автомат', 'минивэн, бензин', 'руль справа, 127 000 км']",
Volkswagen Golf,$ 5 450,"['1999 г., 2 л., автомат', 'хэтчбек 5 дв., бензин', 'руль слева, 200 000 км']",
Mercedes-Benz E-класс,$ 14 558,"['2010 г., 3.5 л., автомат', 'седан, бензин', 'руль слева, 170 000 км']",
Nissan Maxima,$ 4 900,"['2000 г., 3 л., автомат', 'седан, бензин', 'руль слева, 205 000 км']",
Mercedes-Benz E-класс,$ 9 500,"['2002 г., 5 л., автомат', 'седан, бензин', 'руль слева']",
Toyota Camry,$ 17 700,"['2017 г., 2.5 л., автомат', 'седан, бензин', 'руль слева, 74 000 км']",
BMW X5,$ 11 000,"['2006 г., 4.4 л., автомат', 'внедорожник 5 дв., бензин', 'руль слева, 195 000 км']",
Toyota Ist,$ 4 600,"['2002 г., 1.3 л., автомат', 'хэтчбек 5 дв., бензин', 'руль справа, 360 000 км']",
Lexus GX,$ 21 500,"['2005 г., 4.7 л., автомат', 'внедорожник 5 дв., бензин', 'руль слева, 179 000 км']",
Hyundai Elantra,$ 13 000,"['2017 г., 2 л., автомат', 'седан, бензин', 'руль слева, 70 000 км']",
